chapter number, title, wordcount, timestamp
208,"From Within – 16.5",5763,2019-08-27T00:02:07-04:00
209,"From Within – 16.6",8087,2019-08-31T16:17:16-04:00
210,"From Within – 16.7",6831,2019-09-03T00:02:30-04:00
211,"From Within – 16.8",9728,2019-09-07T00:02:54-04:00
212,"From Within – 16.9",6727,2019-09-10T00:02:44-04:00
213,"From Within – 16.10",7444,2019-09-14T00:02:10-04:00
214,"From Within – 16.11",5789,2019-09-17T00:02:45-04:00
215,"From Within – 16.12",8147,2019-09-21T00:02:25-04:00
216,"From Within – 16.y",9835,2019-09-24T00:02:44-04:00
217,"From Within – 16.z",8878,2019-09-28T00:02:24-04:00
218,"Sundown – 17.1",9179,2019-10-01T00:02:01-04:00
219,"Sundown – 17.2",7228,2019-10-05T00:02:16-04:00
220,"Sundown – 17.3",6742,2019-10-08T00:02:19-04:00
221,"Sundown – 17.4",9398,2019-10-12T00:02:44-04:00
222,"Sundown – 17.5",7416,2019-10-15T00:02:34-04:00
223,"Sundown – 17.6",8891,2019-10-19T00:02:25-04:00
224,"Sundown – 17.7",6232,2019-10-22T00:02:55-04:00
225,"Sundown – 17.8",9337,2019-10-26T00:02:16-04:00
226,"Sundown – 17.9",7430,2019-10-29T00:02:23-04:00
227,"Sundown – 17.10",7250,2019-11-02T00:02:15-04:00
228,"Interlude 17.x (Sundown)",9955,2019-11-05T00:02:01-04:00
229,"Interlude 17.y (Sundown)",11497,2019-11-09T00:02:11-04:00
230,"Interlude 17.z (Sundown)",9804,2019-11-12T00:02:20-04:00
231,"Radiation – 18.1",6086,2019-11-16T00:02:10-04:00
232,"Radiation – 18.2",9187,2019-11-19T00:02:50-04:00
233,"Radiation – 18.3",6595,2019-11-23T00:02:56-04:00
234,"Radiation – 18.4",8601,2019-11-26T00:02:36-04:00
235,"Radiation – 18.5",7270,2019-11-30T00:02:49-04:00
236,"Radiation – 18.6",8735,2019-12-03T00:02:51-04:00
237,"Radiation – 18.7",8580,2019-12-07T00:02:44-04:00
238,"Radiation – 18.8",9362,2019-12-10T00:02:17-04:00
239,"Radiation – 18.9",7427,2019-12-14T00:02:04-04:00
240,"Radiation – 18.10",5276,2019-12-17T00:02:42-04:00
241,"Interlude 18.z (Radiation)",8281,2019-12-21T00:02:53-04:00
242,"Infrared – 19.1",7779,2019-12-24T00:02:29-04:00
243,"Infrared – 19.2",5754,2019-12-28T00:02:50-04:00
244,"Interlude 19.a",9136,2020-01-01T00:53:31-04:00
245,"Infrared – 19.3",5725,2020-01-04T00:02:19-04:00
246,"Infrared – 19.4",6849,2020-01-07T00:02:58-04:00
247,"Infrared – 19.b",7918,2020-01-11T00:02:59-04:00
248,"Infrared – 19.c",9697,2020-01-14T00:02:08-04:00
249,"Infrared – 19.5",6083,2020-01-18T00:02:09-04:00
250,"Infrared – 19.6",8113,2020-01-21T00:02:32-04:00
251,"Infrared – 19.d",7661,2020-01-25T00:02:39-04:00
252,"Infrared – 19.e",7220,2020-01-28T00:02:16-04:00
253,"Infrared – 19.7",5413,2020-02-02T00:40:56-04:00
254,"Infrared – 19.8",5658,2020-02-04T00:02:55-04:00
255,"Infrared – 19.9",5685,2020-02-08T00:02:25-04:00
256,"Infrared – 19.f",7400,2020-02-11T00:02:54-04:00
