chapter number, title, wordcount, timestamp
139,"In Sheep’s Clothing – 10.7",4500,2016-04-05T00:01:44-04:00
140,"In Sheep’s Clothing – 10.8",5344,2016-04-09T00:01:05-04:00
141,"In Sheep’s Clothing – 10.9",4875,2016-04-12T00:01:25-04:00
142,"In Sheep’s Clothing – 10.10",5442,2016-04-16T00:01:40-04:00
143,"In Sheep’s Clothing – 10.11",4746,2016-04-19T00:01:22-04:00
144,"In Sheep’s Clothing – 10.12",4419,2016-04-23T00:01:12-04:00
145,"In Sheep’s Clothing – 10.13",4340,2016-04-26T00:01:51-04:00
146,"In Sheep’s Clothing – 10.14",5010,2016-04-28T00:01:22-04:00
147,"In Sheep’s Clothing – 10.15",4971,2016-04-30T00:01:24-04:00
148,"In Sheep’s Clothing – 10.16",4261,2016-05-03T00:01:37-04:00
149,"In Sheep’s Clothing – 10.17",4957,2016-05-07T00:01:19-04:00
150,"In Sheep’s Clothing – 10.18",5802,2016-05-10T00:01:03-04:00
151,"In Sheep’s Clothing – 10.19",6094,2016-05-14T00:01:31-04:00
152,"In Sheep’s Clothing – 10.20",7174,2016-05-17T00:01:09-04:00
153,"Lamb – Arc 10",4716,2016-05-19T00:01:04-04:00
154,"Cut to the Quick – 11.1",4393,2016-05-21T00:01:09-04:00
155,"Cut to the Quick – 11.2",4523,2016-05-24T00:01:07-04:00
156,"Cut to the Quick – 11.3",4528,2016-05-26T00:01:11-04:00
157,"Cut to the Quick – 11.4",4704,2016-05-28T00:01:28-04:00
158,"Cut to the Quick – 11.5",4293,2016-05-31T00:01:43-04:00
159,"Cut to the Quick – 11.6",4191,2016-06-04T00:01:24-04:00
160,"Cut to the Quick – 11.7",4307,2016-06-07T00:01:14-04:00
161,"Cut to the Quick – 11.8",5655,2016-06-11T00:01:04-04:00
162,"Cut to the Quick – 11.9",4367,2016-06-14T00:01:10-04:00
163,"Cut to the Quick – 11.10",4570,2016-06-18T00:01:30-04:00
164,"Cut to the Quick – 11.11",5238,2016-06-21T00:01:56-04:00
165,"Cut to the Quick – 11.12",6099,2016-06-25T00:01:48-04:00
166,"Cut to the Quick – 11.13",4398,2016-06-28T00:01:28-04:00
167,"Cut to the Quick – 11.14",6502,2016-06-30T00:01:31-04:00
168,"Cut to the Quick – 11.15",5832,2016-07-02T00:01:02-04:00
169,"Lamb (Arc 11)",8895,2016-07-05T00:01:21-04:00
170,"Dyed in the Wool – 12.1",5288,2016-07-07T00:01:53-04:00
171,"Dyed in the Wool – 12.2",4263,2016-07-09T00:01:13-04:00
172,"Dyed in the Wool – 12.3",4654,2016-07-12T00:01:20-04:00
173,"Dyed in the Wool – 12.4",5236,2016-07-16T00:01:44-04:00
174,"Dyed in the Wool – 12.5",4670,2016-07-19T00:01:33-04:00
175,"Dyed in the Wool – 12.6",4099,2016-07-21T00:01:15-04:00
176,"Dyed in the Wool – 12.7",4134,2016-07-23T00:01:34-04:00
177,"Dyed in the Wool – 12.8",4590,2016-07-26T00:01:01-04:00
178,"Dyed in the Wool – 12.9",5690,2016-07-28T00:01:42-04:00
179,"Dyed in the Wool – 12.10",5153,2016-07-30T00:01:24-04:00
180,"Dyed in the Wool – 12.11",5348,2016-08-02T00:01:17-04:00
181,"Dyed in the Wool – 12.12",5447,2016-08-06T00:01:44-04:00
182,"Black Sheep – 13.1 (Lamb)",4536,2016-08-09T00:01:07-04:00
183,"Black Sheep – 13.2 (Lamb)",6006,2016-08-13T00:01:55-04:00
184,"Black Sheep – 13.3 (Lamb)",5412,2016-08-16T00:01:02-04:00
185,"Black Sheep – 13.4 (Lamb)",4983,2016-08-18T00:01:25-04:00
186,"Black Sheep – 13.5 (Lamb)",6015,2016-08-20T00:01:35-04:00
187,"Black Sheep – 13.6 (Lamb)",4877,2016-08-23T00:01:16-04:00
188,"Black Sheep – 13.7",6887,2016-08-27T00:01:16-04:00
189,"Black Sheep – 13.8 (Lamb)",4773,2016-08-30T00:01:42-04:00
190,"Black Sheep – 13.9 (Lamb)",7360,2016-09-01T00:01:35-04:00
191,"Black Sheep – 13.10 (Lamb)",7715,2016-09-03T00:01:33-04:00
192,"Black Sheep – 13.11",11555,2016-09-06T00:01:02-04:00
193,"Thicker than Water – 14.1",5281,2016-09-10T00:01:46-04:00
194,"Thicker than Water – 14.2",5507,2016-09-13T00:01:40-04:00
195,"Thicker than Water – 14.3",4916,2016-09-17T00:01:01-04:00
196,"Thicker than Water – 14.4",6870,2016-09-20T00:01:12-04:00
197,"Thicker than Water – 14.5",4476,2016-09-22T00:01:57-04:00
198,"Thicker than Water – 14.6",5385,2016-09-24T00:01:39-04:00
199,"Thicker than Water – 14.7",4979,2016-09-27T00:01:29-04:00
200,"Thicker than Water – 14.8",4541,2016-10-01T00:01:31-04:00
201,"Thicker than Water – 14.9",4600,2016-10-04T00:01:39-04:00
202,"Thicker than Water – 14.10",5034,2016-10-08T00:01:57-04:00
203,"Thicker than Water – 14.11",5214,2016-10-11T00:01:18-04:00
204,"Thicker than Water – 14.12",6404,2016-10-15T00:01:04-04:00
205,"Thicker than Water – 14.13",4688,2016-10-18T00:01:55-04:00
206,"Thicker than Water – 14.14",4915,2016-10-22T00:01:00-04:00
207,"Thicker than Water – 14.15",4798,2016-10-25T00:01:28-04:00
208,"Thicker than Water – 14.16",4188,2016-10-27T00:01:59-04:00
209,"Thicker than Water – 14.17",5323,2016-10-29T00:01:29-04:00
210,"Thicker than Water – 14.18",4693,2016-11-01T00:01:34-04:00
211,"Lamb (Arc 14)",7493,2016-11-05T00:01:49-04:00
212,"Bitter Pill – 15.1",5235,2016-11-08T00:01:38-04:00
213,"Bitter Pill – 15.2",5456,2016-11-12T00:01:40-04:00
214,"Bitter Pill – 15.3",5089,2016-11-15T00:01:28-04:00
